(3, {'state': [555, 0, 16, 31, 16, 1, 2, 1, 0, 516], 'reward': -1, 'action': 3, 'done': False})
(3, {'state': [455, 0, 18, 31, 16, 1, 2, 1, 0, 517], 'reward': -1, 'action': 3, 'done': False})
(9, {'state': [1115, 0, 20, 31, 16, 1, 2, 1, 2, 765], 'reward': 10.485569724727576, 'action': None, 'done': True})

[0, 0, 0, 1, 1, 2, 2, 0, 3, 3, 9]
(0, {'state': [0, 0, 12, 15, 12, 1, 0, 0, 0, 0], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [0, 0, 13, 15, 12, 1, 0, 0, 0, 45], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [5, 0, 14, 15, 13, 1, 0, 0, 0, 74], 'reward': -1, 'action': 0, 'done': False})
(1, {'state': [0, 0, 14, 15, 13, 1, 0, 0, 0, 121], 'reward': -1, 'action': 1, 'done': False})
(1, {'state': [0, 0, 15, 15, 14, 1, 1, 0, 0, 169], 'reward': -1, 'action': 1, 'done': False})
(2, {'state': [0, 0, 15, 23, 15, 1, 1, 0, 0, 238], 'reward': -1, 'action': 2, 'done': False})
(2, {'state': [0, 0, 15, 31, 15, 1, 2, 1, 0, 297], 'reward': -1, 'action': 2, 'done': False})
(0, {'state': [0, 0, 15, 31, 15, 1, 2, 2, 0, 319], 'reward': -1, 'action': 0, 'done': False})
(3, {'state': [400, 0, 16, 31, 16, 1, 2, 2, 0, 514], 'reward': -1, 'action': 3, 'done': False})
(3, {'state': [300, 0, 18, 31, 16, 1, 2, 2, 0, 515], 'reward': -1, 'action': 3, 'done': False})
(9, {'state': [735, 0, 20, 31, 16, 1, 2, 2, 2, 677], 'reward': 25.279656970962893, 'action': None, 'done': True})

[0, 0, 0, 1, 1, 2, 2, 3, 0, 3, 9]
